timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2023-12-28,0.6334,0.9499,0.2111,0.6515,28982.4,1703807999999,21399.12529000,189,3809.90000000,2504.29992000,0
2023-12-29,0.6002,0.6437,0.5898,0.608,92713.7,1703894399999,57076.98842000,335,11302.20000000,7010.35755000,0
2023-12-30,0.6099,0.6236,0.5944,0.5967,8425.7,1703980799999,5088.99877000,57,1015.00000000,619.13515000,0
2023-12-31,0.6091,0.6159,0.5817,0.6114,25999.3,1704067199999,15643.33559000,60,15678.60000000,9492.58188000,0
2024-01-01,0.5975,0.6294,0.5975,0.627,11986.8,1704153599999,7326.63665000,34,8347.70000000,5127.68570000,0
2024-01-02,0.627,0.6437,0.58,0.6077,35051.4,1704239999999,21862.65894000,145,17473.10000000,11018.85832000,0
2024-01-03,0.6083,0.6325,0.4877,0.5556,261874.9,1704326399999,140471.80149000,583,141797.40000000,73515.70915000,0
2024-01-04,0.5574,0.5785,0.55,0.574,81456.8,1704412799999,46167.87529000,205,44630.30000000,25302.05080000,0
2024-01-05,0.5704,0.5718,0.526,0.538,46187.5,1704499199999,25103.25039000,188,11415.20000000,6312.79292000,0
2024-01-06,0.5383,0.5383,0.5054,0.5318,21640.1,1704585599999,11322.43014000,125,6297.80000000,3298.19870000,0
2024-01-07,0.5276,0.5367,0.488,0.4937,38076.9,1704671999999,19554.03904000,126,11339.50000000,5956.58177000,0
2024-01-08,0.495,0.5454,0.465,0.541,234234.2,1704758399999,118509.65504000,579,115424.10000000,58662.22490000,0
2024-01-09,0.5323,0.536,0.4749,0.5111,436353.1,1704844799999,223439.71732000,1017,223738.80000000,114664.64948000,0
2024-01-10,0.5116,0.61,0.4928,0.5639,421867.8,1704931199999,225298.17033000,1087,209192.20000000,111788.74879000,0
2024-01-11,0.5677,0.6169,0.5616,0.5805,328493.7,1705017599999,191047.71926000,838,170948.60000000,99020.88791000,0
2024-01-12,0.5781,0.5897,0.53,0.5475,499064.0,1705103999999,285778.39583000,1841,259208.40000000,148440.55009000,0
2024-01-13,0.5492,0.5532,0.5341,0.5511,66624.9,1705190399999,36459.07963000,181,31095.00000000,17051.96495000,0
2024-01-14,0.5481,0.5484,0.5251,0.5266,70410.3,1705276799999,37907.00939000,241,31927.40000000,17102.13176000,0
2024-01-15,0.5253,0.5403,0.5238,0.5275,72804.1,1705363199999,38634.79847000,207,33604.70000000,17878.51839000,0
2024-01-16,0.5301,0.5468,0.5261,0.5353,497581.9,1705449599999,268402.73967000,814,320340.30000000,172764.35866000,0
2024-01-17,0.5359,0.5392,0.5215,0.527,695057.0,1705535999999,368558.35901000,1032,344192.80000000,182618.65255000,0
2024-01-18,0.527,0.5272,0.49,0.5014,1336975.0,1705622399999,681211.30489000,1540,829069.40000000,421955.72927000,0
2024-01-19,0.5027,0.5042,0.4708,0.504,1881016.9,1705708799999,929480.48560000,2091,912955.90000000,450439.04743000,0
2024-01-20,0.5035,0.5192,0.4988,0.5156,1417045.3,1705795199999,724246.76114000,1724,688243.10000000,351593.30664000,0
2024-01-21,0.5155,0.52,0.5023,0.5028,1179381.6,1705881599999,606496.83942000,1415,690279.60000000,354738.97910000,0
2024-01-22,0.5035,0.5058,0.4764,0.4781,2398674.2,1705967999999,1175514.83161000,2773,1182633.00000000,579153.14765000,0
2024-01-23,0.4779,0.4855,0.4475,0.4771,3245109.9,1706054399999,1516768.22222000,3313,1283685.90000000,598902.13762000,0
2024-01-24,0.4769,0.48,0.4635,0.4762,4103441.7,1706140799999,1937350.09236000,3384,1484112.90000000,700153.57358000,0
2024-01-25,0.4761,0.4837,0.4586,0.4668,2060937.3,1706227199999,970904.12693000,1920,846003.20000000,398139.40619000,0
2024-01-26,0.4655,0.49,0.4632,0.4849,2208244.3,1706313599999,1059148.14980000,1730,773184.90000000,370083.20697000,0
2024-01-27,0.4851,0.4898,0.4754,0.4863,1430358.7,1706399999999,690776.01539000,1227,943184.90000000,455305.74259000,0
2024-01-28,0.4861,0.5003,0.4845,0.49,1742952.0,1706486399999,859353.07913000,1588,664513.40000000,327703.61256000,0
2024-01-29,0.4902,0.5282,0.4836,0.526,2519025.8,1706572799999,1274540.07027000,2267,1127044.10000000,571519.66369000,0
2024-01-30,0.5262,0.5366,0.5124,0.5138,3064997.8,1706659199999,1608656.15129000,2751,1206408.10000000,631827.85155000,0
2024-01-31,0.5137,0.5954,0.4935,0.4979,2779747.6,1706745599999,1409657.81724000,2286,1404800.90000000,712112.43713000,0
2024-02-01,0.498,0.5083,0.4856,0.5076,1859232.7,1706831999999,918903.17318000,2166,725452.20000000,358455.80454000,0
2024-02-02,0.5082,0.5238,0.504,0.5142,2453276.4,1706918399999,1257470.82442000,2601,825901.50000000,422599.13649000,0
2024-02-03,0.5144,0.5252,0.5117,0.5123,1263275.4,1707004799999,655549.79161000,1620,377997.90000000,195650.08700000,0
2024-02-04,0.5124,0.5124,0.4933,0.4933,584379.4,1707091199999,295116.85494000,701,259075.70000000,131028.79965000,0
2024-02-05,0.4928,0.5054,0.4868,0.4934,1032329.0,1707177599999,512484.70397000,2038,456270.50000000,226626.22436000,0
2024-02-06,0.4941,0.5038,0.4872,0.4981,1375285.8,1707263999999,681173.60594000,2238,560004.90000000,276961.25888000,0
2024-02-07,0.4994,0.5022,0.4735,0.5022,2287466.0,1707350399999,1112711.60902000,3103,1177170.30000000,570127.95032000,0
2024-02-08,0.5021,0.5359,0.5021,0.5301,3711670.6,1707436799999,1937172.23572000,4323,1246393.10000000,651860.36367000,0
2024-02-09,0.5301,0.5489,0.528,0.5402,2392279.4,1707523199999,1290733.15582000,2839,719560.90000000,387575.01242000,0
