timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2024-03-07,5.88e-06,1.95e-05,5.88e-06,6.83e-06,20668316578.0,1709855999999,142298.83522830,1471,11170535874.00,77156.25015221,0
2024-03-08,6.83e-06,9.55e-06,6.74e-06,9.05e-06,82095826613.0,1709942399999,697420.93806150,8894,34266923745.00,288789.31934817,0
2024-03-09,9.06e-06,9.92e-06,8.48e-06,8.76e-06,20946062868.0,1710028799999,189893.22301963,3586,11991117661.00,109608.12807306,0
2024-03-10,8.77e-06,9.32e-06,8.19e-06,8.48e-06,44351482291.0,1710115199999,379772.85114903,1988,9302670989.00,80164.48331535,0
2024-03-11,8.48e-06,9.55e-06,7.79e-06,9.04e-06,15853697863.0,1710201599999,137756.71752340,1513,8168180274.00,71686.56020188,0
2024-03-12,9.14e-06,9.14e-06,7.5e-06,8.29e-06,23002446451.0,1710287999999,190821.13341201,3283,11449134300.00,95017.67000914,0
2024-03-13,8.29e-06,9.39e-06,8.11e-06,9.04e-06,32419393739.0,1710374399999,286250.73391786,4128,16237326149.00,143632.18695404,0
2024-03-14,9.07e-06,5.245e-05,8.75e-06,9.94e-06,41595936606.0,1710460799999,420410.46584664,3902,18706631773.00,193261.42955364,0
2024-03-15,9.96e-06,1.034e-05,8.25e-06,8.91e-06,71782363820.0,1710547199999,661646.10510070,4703,52448213353.00,485483.61561180,0
2024-03-16,8.91e-06,9.09e-06,7.01e-06,7.45e-06,56029764647.0,1710633599999,435732.50561820,3641,25138371514.00,195369.74179222,0
2024-03-17,7.45e-06,8.18e-06,6.86e-06,7.87e-06,42816051651.0,1710719999999,324209.25741358,2392,23448065199.00,178799.51576671,0
2024-03-18,7.79e-06,8.17e-06,6.62e-06,6.81e-06,59893200132.0,1710806399999,439730.35218749,2125,29964674248.00,219732.53852487,0
2024-03-19,6.81e-06,7.6e-06,5.86e-06,6.56e-06,87028376883.0,1710892799999,592169.43603261,2176,42719919104.00,292119.84681886,0
2024-03-20,6.65e-06,8.58e-06,6.43e-06,8.4e-06,75281224428.0,1710979199999,550852.42499513,2944,32161759328.00,235583.42223975,0
2024-03-21,8.38e-06,8.45e-06,7.67e-06,7.89e-06,73625500210.0,1711065599999,593192.11543797,2419,30697881595.00,247155.03924483,0
2024-03-22,7.84e-06,8.27e-06,7.13e-06,7.43e-06,36737819054.0,1711151999999,277868.94431839,1870,22371208416.00,168117.10417320,0
2024-03-23,7.39e-06,7.74e-06,7.32e-06,7.32e-06,25850945161.0,1711238399999,194970.05405643,1123,11987227421.00,90556.19103776,0
2024-03-24,7.35e-06,7.99e-06,7.21e-06,7.82e-06,29659492678.0,1711324799999,222480.27068282,1453,16498391140.00,124170.50418380,0
2024-03-25,7.87e-06,8.51e-06,7.45e-06,8.1e-06,45405081320.0,1711411199999,363591.38400330,2361,20123054137.00,160439.58964428,0
2024-03-26,8.1e-06,8.73e-06,7.81e-06,8.03e-06,76189309287.0,1711497599999,622422.02538132,2708,26913167052.00,221127.18533682,0
2024-03-27,8.01e-06,8.36e-06,7.51e-06,7.58e-06,35340851150.0,1711583999999,277514.91454999,1499,20788265836.00,163467.71306325,0
2024-03-28,7.61e-06,8.33e-06,7.37e-06,8.02e-06,70713735847.0,1711670399999,568700.51253919,2479,29611646277.00,239182.62557723,0
2024-03-29,8.03e-06,8.06e-06,7.59e-06,7.77e-06,24271104259.0,1711756799999,189491.91126340,924,12772955787.00,99682.27406014,0
2024-03-30,7.72e-06,8.86e-06,7.71e-06,8.14e-06,63056929252.0,1711843199999,524395.41039244,2454,25822718289.00,216306.33179743,0
2024-03-31,8.11e-06,9.21e-06,8.03e-06,8.81e-06,43233508268.0,1711929599999,375987.02517424,2388,23204093881.00,201761.97985416,0
2024-04-01,8.78e-06,8.79e-06,7.63e-06,7.93e-06,56074175576.0,1712015999999,448975.08642813,2497,30830763687.00,247559.06772147,0
2024-04-02,7.92e-06,7.92e-06,6.88e-06,7.24e-06,88477151706.0,1712102399999,636334.88237862,2385,51824463757.00,372645.95237924,0
2024-04-03,7.25e-06,7.43e-06,6.61e-06,6.81e-06,71904348861.0,1712188799999,513068.64379433,1649,37318707444.00,266841.15564061,0
2024-04-04,6.79e-06,7.18e-06,6.61e-06,6.91e-06,40158442147.0,1712275199999,278664.40903688,1226,18799538121.00,130517.98096765,0
2024-04-05,6.87e-06,6.98e-06,6.37e-06,6.6e-06,35549350068.0,1712361599999,235964.52079732,1039,18336083124.00,121634.58035961,0
2024-04-06,6.56e-06,6.85e-06,6.56e-06,6.77e-06,20044998094.0,1712447999999,135292.07775875,489,11130446473.00,75238.78195466,0
2024-04-07,6.74e-06,7.52e-06,6.73e-06,7.45e-06,47022583862.0,1712534399999,338492.32188901,1456,26343959383.00,189849.83780785,0
2024-04-08,7.43e-06,7.96e-06,7.21e-06,7.77e-06,38862526317.0,1712620799999,296536.50867877,952,19063234896.00,144743.18868548,0
2024-04-09,7.77e-06,7.85e-06,6.92e-06,7.04e-06,34913459695.0,1712707199999,253784.34492484,1212,14897505824.00,108148.14456486,0
2024-04-10,7.07e-06,7.25e-06,6.68e-06,7.15e-06,38417249864.0,1712793599999,265333.19922333,1281,19252254195.00,132785.81718301,0
2024-04-11,7.08e-06,7.55e-06,6.82e-06,7.32e-06,80495310536.0,1712879999999,582836.23394284,1741,43726806062.00,316518.94828010,0
2024-04-12,7.37e-06,7.55e-06,4.54e-06,5.93e-06,139721732240.0,1712966399999,864280.65569734,2473,73850164307.00,453059.99780726,0
2024-04-13,5.91e-06,6.03e-06,3.9e-06,5.05e-06,227294466437.0,1713052799999,1229780.36983915,2932,131417504528.00,711373.90797576,0
2024-04-14,5.09e-06,5.57e-06,4.82e-06,5.44e-06,91596487202.0,1713139199999,480826.62513598,1410,24034146136.00,126554.46172662,0
2024-04-15,5.42e-06,5.8e-06,4.73e-06,5.1e-06,236309223328.0,1713225599999,1187050.69013234,2207,95398765987.00,472285.13513784,0
2024-04-16,5.06e-06,5.52e-06,4.76e-06,5.43e-06,66800192507.0,1713311999999,339148.34491539,1705,41893328062.00,212818.18506707,0
2024-04-17,5.35e-06,5.47e-06,4.88e-06,4.9e-06,45493233511.0,1713398399999,233508.28967817,1258,28875393054.00,149626.18767349,0
2024-04-18,4.89e-06,5.29e-06,4.64e-06,5.1e-06,32830771094.0,1713484799999,165106.42417431,1202,16600115361.00,83672.18210726,0
2024-04-19,5.03e-06,5.48e-06,4.63e-06,5.17e-06,55591331491.0,1713571199999,284722.42102651,1401,31551558473.00,161567.40315224,0
2024-04-20,5.12e-06,5.89e-06,5.03e-06,5.82e-06,25708661689.0,1713657599999,141584.20365655,1248,13952071770.00,76822.47723777,0
2024-04-21,5.79e-06,6.22e-06,5.61e-06,5.95e-06,35495711182.0,1713743999999,211440.74945565,1181,18705619602.00,111855.04748770,0
2024-04-22,5.97e-06,6.96e-06,5.94e-06,6.89e-06,39072738271.0,1713830399999,252463.88000469,1100,26315168663.00,170358.52421310,0
2024-04-23,6.87e-06,7.88e-06,6.66e-06,7.67e-06,61315834515.0,1713916799999,450378.54206344,1981,33756823589.00,248488.81858799,0
2024-04-24,7.69e-06,8.18e-06,7.05e-06,7.25e-06,92118619791.0,1714003199999,705147.69562860,3483,37237437321.00,282804.19881301,0
2024-04-25,7.26e-06,8.08e-06,6.96e-06,7.78e-06,190910406731.0,1714089599999,1484420.90127083,4623,145794111002.00,1140313.97753639,0
2024-04-26,7.8e-06,7.88e-06,7.24e-06,7.37e-06,37928678414.0,1714175999999,285622.07054869,2125,15451316320.00,116262.09376496,0
2024-04-27,7.37e-06,7.42e-06,6.67e-06,7.22e-06,40814857313.0,1714262399999,287213.90091513,2656,21654630144.00,152604.64718655,0
2024-04-28,7.22e-06,7.75e-06,7.13e-06,7.23e-06,47627961290.0,1714348799999,356043.38731439,1866,25044714741.00,187723.66077169,0
2024-04-29,7.2e-06,7.49e-06,6.79e-06,7.35e-06,34801611142.0,1714435199999,246707.64590209,2877,16516055003.00,117189.04689498,0
2024-04-30,7.34e-06,7.59e-06,6.34e-06,6.65e-06,84255163286.0,1714521599999,584414.80187676,5601,39893489142.00,276448.84269592,0
2024-05-01,6.65e-06,7.24e-06,5.92e-06,6.97e-06,99843708877.0,1714607999999,650410.96764602,3498,57586163712.00,374930.56857445,0
2024-05-02,6.96e-06,7.87e-06,6.68e-06,7.54e-06,226586151898.0,1714694399999,1714953.39188358,5146,108437984472.00,820715.68495088,0
2024-05-03,7.55e-06,8.3e-06,7.45e-06,8.08e-06,263121823791.0,1714780799999,2057721.04814113,6534,131254274979.00,1030458.07407882,0
2024-05-04,8.07e-06,8.99e-06,8.01e-06,8.67e-06,46126152099.0,1714867199999,398590.99468489,2618,24852689718.00,214630.78951074,0
2024-05-05,8.68e-06,8.79e-06,8.27e-06,8.53e-06,39023382740.0,1714953599999,332737.29060982,2448,23496503247.00,200972.39201200,0
2024-05-06,8.55e-06,9.17e-06,8.32e-06,8.32e-06,43605781990.0,1715039999999,376850.51198211,2136,20653732946.00,178784.20371352,0
2024-05-07,8.37e-06,8.64e-06,7.89e-06,7.91e-06,43898281285.0,1715126399999,361863.64682572,2496,18680126448.00,153976.96621976,0
2024-05-08,7.9e-06,8.24e-06,7.62e-06,7.99e-06,49234851870.0,1715212799999,391062.30758271,2114,25815615296.00,205027.04453079,0
2024-05-09,7.93e-06,8.74e-06,7.87e-06,8.54e-06,68480293074.0,1715299199999,567308.94485569,3305,37373943431.00,310755.71808046,0
2024-05-10,8.52e-06,8.81e-06,8.16e-06,8.41e-06,46954252057.0,1715385599999,397338.26007334,3717,22554990481.00,191635.56498753,0
2024-05-11,8.44e-06,8.95e-06,8.38e-06,8.52e-06,45789613793.0,1715471999999,396062.36467960,2181,18544199205.00,160570.39245515,0
2024-05-12,8.53e-06,8.95e-06,8.49e-06,8.74e-06,39054550680.0,1715558399999,340688.67536178,1446,20165942671.00,176210.51090342,0
2024-05-13,8.77e-06,1.113e-05,8.3e-06,9.89e-06,180887562180.0,1715644799999,1693302.45324783,6232,81291255039.00,780318.15550990,0
2024-05-14,9.91e-06,1.168e-05,9.84e-06,1.055e-05,151727188176.0,1715731199999,1612429.61231223,5908,90852376296.00,965668.02599940,0
2024-05-15,1.058e-05,1.157e-05,9.96e-06,1.054e-05,108332665050.0,1715817599999,1175764.49425126,5289,52199208720.00,562833.75282211,0
2024-05-16,1.058e-05,1.08e-05,9.61e-06,1.005e-05,37025862967.0,1715903999999,375909.50300491,2437,19825768542.00,201100.67941339,0
2024-05-17,1.004e-05,1.042e-05,9.84e-06,1.018e-05,29986214567.0,1715990399999,305201.76236464,2013,17183460557.00,175222.66247727,0
2024-05-18,1.017e-05,1.046e-05,9.18e-06,9.56e-06,32250348432.0,1716076799999,313464.51532854,2591,17243883479.00,167935.45191875,0
2024-05-19,9.54e-06,9.59e-06,8.9e-06,9.16e-06,22926949187.0,1716163199999,210916.88852617,1910,12044377640.00,110963.63493846,0
2024-05-20,9.16e-06,1.145e-05,8.97e-06,1.14e-05,111406850762.0,1716249599999,1122410.71317831,10977,42713727177.00,443416.87239373,0
2024-05-21,1.142e-05,1.415e-05,1.081e-05,1.385e-05,173551578139.0,1716335999999,2201902.59223911,9128,112927296847.00,1453871.32932642,0
2024-05-22,1.384e-05,1.43e-05,1.252e-05,1.34e-05,94221087927.0,1716422399999,1275097.37678854,6936,54838272141.00,743207.30428498,0
2024-05-23,1.348e-05,1.8e-05,1.227e-05,1.49e-05,171982690033.0,1716508799999,2457883.57473702,12815,88979485409.00,1272480.12050155,0
2024-05-24,1.488e-05,1.516e-05,1.344e-05,1.42e-05,80746901979.0,1716595199999,1139219.66566246,6687,44162992536.00,622490.51266329,0
2024-05-25,1.412e-05,1.584e-05,1.412e-05,1.497e-05,55728710250.0,1716681599999,846879.57909745,7800,28769652783.00,436686.97270953,0
2024-05-26,1.499e-05,1.636e-05,1.464e-05,1.601e-05,56644996283.0,1716767999999,892005.83409193,5714,26229268444.00,414604.50342003,0
