symbol,timeframe,total_trades,winning_trades,win_rate,total_profit_loss,final_balance,return_percent
BTCUSDC,15m,63,23,36.507936507936506,25.720471080294125,10025.720471080322,0.25720471080321655
BTCUSDC,30m,27,14,51.85185185185185,29.70099901108264,10029.700999011096,0.2970099901109643
BTCUSDC,1h,32,17,53.125,29.269123903198675,10029.269123903208,0.2926912390320831
BTCUSDC,4h,11,8,72.72727272727273,22.315959132169688,10022.315959132175,0.22315959132174612
ETHUSDC,15m,112,51,45.535714285714285,132.07076820776356,10132.070768207801,1.3207076820780093
ETHUSDC,30m,72,42,58.333333333333336,141.28432076299634,10141.284320763021,1.4128432076302124
ETHUSDC,1h,41,24,58.536585365853654,92.71141155700599,10092.711411557017,0.9271141155701662
ETHUSDC,4h,19,14,73.68421052631578,84.77728603235532,10084.777286032366,0.8477728603236574
BNBUSDC,15m,76,31,40.78947368421053,39.62720283611391,10039.627202836142,0.396272028361418
BNBUSDC,30m,49,23,46.93877551020408,37.05289180936266,10037.05289180938,0.3705289180938053
BNBUSDC,1h,28,14,50.0,39.086227851207916,10039.08622785122,0.39086227851219524
BNBUSDC,4h,10,7,70.0,31.282153310208873,10031.282153310212,0.3128215331021238
ADAUSDC,15m,114,57,50.0,29.432190292981215,10029.432190293031,0.2943219029303145
ADAUSDC,30m,71,39,54.929577464788736,30.369825382328955,10030.369825382346,0.30369825382345883
ADAUSDC,1h,55,34,61.81818181818181,16.7655086554619,10016.76550865548,0.16765508655480515
ADAUSDC,4h,22,13,59.09090909090909,-1.030884004647131,9998.969115995365,-0.010308840046345722
SOLUSDC,15m,99,46,46.464646464646464,32.50306110948253,10032.503061109508,0.3250306110950806
SOLUSDC,30m,58,34,58.620689655172406,43.907710575026044,10043.907710575048,0.43907710575047537
SOLUSDC,1h,54,33,61.111111111111114,21.926666743381126,10021.926666743402,0.21926666743402168
SOLUSDC,4h,18,14,77.77777777777779,32.670188958842594,10032.67018895885,0.32670188958849394
