timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,ema_99
2023-03-12,277.90000000,303.50000000,277.90000000,292.1,6097.52600000,1678665599999,1773749.30260000,3458,4756.10200000,1384557.99070000,0,292.1
2023-03-13,292.60000000,377.70000000,289.10000000,308.8,3114.27800000,1678751999999,953328.92130000,2257,1469.04700000,449631.26630000,0,292.434
2023-03-14,308.80000000,320.50000000,304.70000000,309.5,5149.50300000,1678838399999,1591346.32670000,1615,831.50700000,260157.16530000,0,292.77532
2023-03-15,309.60000000,314.70000000,301.50000000,306.8,868.78900000,1678924799999,267789.29930000,612,339.74000000,105088.67430000,0,293.0558136
2023-03-16,307.60000000,333.40000000,304.20000000,330.2,3820.41900000,1679011199999,1240896.72050000,1781,1305.40700000,423625.67830000,0,293.798697328
2023-03-17,330.30000000,340.60000000,326.80000000,339.4,2456.99700000,1679097599999,820240.34670000,2095,1551.78900000,519349.39230000,0,294.71072338144
2023-03-18,339.30000000,346.90000000,328.90000000,331.8,1414.29000000,1679183999999,480910.10880000,2079,624.32700000,212328.44010000,0,295.4525089138112
2023-03-19,332.30000000,342.40000000,332.30000000,337.4,2107.07900000,1679270399999,714819.40010000,1691,401.61300000,135955.71860000,0,296.29145873553495
2023-03-20,337.00000000,340.30000000,332.90000000,334.3,696.15000000,1679356799999,234743.91750000,1868,320.39600000,108107.69210000,0,297.05162956082427
2023-03-21,333.70000000,340.70000000,328.60000000,335.3,1278.06300000,1679443199999,430624.75570000,1502,370.94200000,124398.55040000,0,297.81659696960776
2023-03-22,335.50000000,340.30000000,317.10000000,321.9,2350.36100000,1679529599999,776984.55170000,3136,1041.97400000,345225.91330000,0,298.2982650302156
2023-03-23,321.80000000,334.20000000,320.00000000,330.0,987.87300000,1679615999999,322658.61740000,1618,439.66400000,144055.02400000,0,298.93229972961126
2023-03-24,330.40000000,331.00000000,317.40000000,322.1,1385.99700000,1679702399999,448787.35130000,1399,217.15300000,70254.78620000,0,299.39565373501904
2023-03-25,322.50000000,325.10000000,319.50000000,322.7,657.24100000,1679788799999,212545.95040000,1108,223.27600000,72275.16800000,0,299.8617406603187
2023-03-26,322.80000000,329.60000000,321.70000000,329.1,694.88600000,1679875199999,226389.49790000,944,338.99800000,110552.82540000,0,300.4465058471123
2023-03-27,328.60000000,329.70000000,305.80000000,310.7,1722.03900000,1679961599999,542594.75250000,2094,694.23100000,219032.53720000,0,300.65157573017007
2023-03-28,310.70000000,315.60000000,306.90000000,313.2,1060.05000000,1680047999999,329437.48150000,1839,305.21500000,95080.36610000,0,300.90254421556665
2023-03-29,313.10000000,319.80000000,312.50000000,313.9,3556.84700000,1680134399999,1121616.11640000,1977,2672.59100000,843214.92810000,0,301.1624933312553
2023-03-30,313.80000000,321.00000000,309.90000000,315.8,1375.58600000,1680220799999,433912.22670000,1805,574.31500000,181164.29370000,0,301.4552434646302
2023-03-31,316.50000000,319.70000000,310.60000000,316.9,997.32600000,1680307199999,316037.46850000,1230,414.92600000,131531.05520000,0,301.7641385953376
2023-04-01,317.10000000,318.50000000,313.20000000,314.8,805.60200000,1680393599999,253718.04990000,1037,302.84700000,95300.28360000,0,302.02485582343087
2023-04-02,315.00000000,316.30000000,310.80000000,313.5,418.63800000,1680479999999,131451.44070000,849,172.21500000,54024.78290000,0,302.25435870696225
2023-04-03,313.60000000,334.90000000,299.70000000,308.8,1937.35100000,1680566399999,599407.86260000,2357,1060.73600000,329167.25020000,0,302.385271532823
