timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,ema_99
2024-03-14,2.58910000,4.88880000,2.37260000,2.867,193986.00000000,1710460799999,541271.52610000,2089,114547.00000000,323293.05260000,0,2.867
2024-03-15,2.84020000,4.55810000,2.30010000,2.6727,132988.00000000,1710547199999,358429.53020000,1862,72990.00000000,197429.78970000,0,2.863114
2024-03-16,2.67930000,2.68700000,2.04000000,2.4255,112376.00000000,1710633599999,277572.42530000,1362,62193.00000000,154976.57580000,0,2.85436172
2024-03-17,2.43390000,3.01600000,2.30000000,2.8181,115896.00000000,1710719999999,320814.11520000,1780,49455.00000000,136727.99080000,0,2.8536364856
2024-03-18,2.79070000,2.88390000,2.44820000,2.488,288616.00000000,1710806399999,747764.42590000,3871,156305.00000000,406353.69690000,0,2.846323755888
2024-03-19,2.48920000,2.70000000,2.12010000,2.3798,407606.00000000,1710892799999,957938.82210000,3922,240004.00000000,555379.72320000,0,2.83699328077024
2024-03-20,2.37540000,2.85080000,2.35530000,2.7481,239467.00000000,1710979199999,623764.64670000,2778,98049.00000000,257626.26590000,0,2.835215415154835
2024-03-21,2.72730000,2.77580000,2.48040000,2.5157,128172.00000000,1711065599999,337185.91020000,1572,24828.00000000,64785.09920000,0,2.8288251068517383
2024-03-22,2.50200000,2.58560000,2.36590000,2.4264,49705.00000000,1711151999999,122294.79700000,1110,18362.00000000,45339.35380000,0,2.8207766047147036
2024-03-23,2.41680000,2.55100000,2.39550000,2.4178,50931.00000000,1711238399999,126599.32860000,800,19301.00000000,48191.77310000,0,2.8127170726204094
2024-03-24,2.42600000,2.64750000,2.38890000,2.5868,35120.00000000,1711324799999,87420.59940000,814,17917.00000000,44127.70750000,0,2.8081987311680012
2024-03-25,2.57280000,2.73080000,2.48770000,2.6585,76351.00000000,1711411199999,202300.92490000,1117,24807.00000000,65686.92900000,0,2.805204756544641
2024-03-26,2.67700000,3.04870000,2.67700000,2.8479,139935.00000000,1711497599999,401928.01110000,1818,79480.00000000,228437.10340000,0,2.806058661413748
2024-03-27,2.82340000,3.36560000,2.81920000,3.094,202259.00000000,1711583999999,632212.48900000,3170,102081.00000000,318808.80820000,0,2.811817488185473
2024-03-28,3.06560000,3.48680000,3.01700000,3.2676,123144.00000000,1711670399999,405039.29210000,1810,56741.00000000,187033.71180000,0,2.8209331384217635
2024-03-29,3.26820000,3.36920000,3.08230000,3.1038,44632.00000000,1711756799999,144233.66910000,1061,21998.00000000,71363.86920000,0,2.826590475653328
2024-03-30,3.10250000,3.22560000,2.80000000,3.2037,37820.00000000,1711843199999,116359.38060000,961,17198.00000000,52926.60780000,0,2.8341326661402615
2024-03-31,3.20520000,3.26890000,3.00530000,3.0495,78416.00000000,1711929599999,244515.43650000,1011,50824.00000000,158741.06190000,0,2.8384400128174563
2024-04-01,3.04870000,3.07940000,2.82780000,2.9,41125.00000000,1712015999999,120625.15440000,619,19429.00000000,57294.86920000,0,2.839671212561107
2024-04-02,2.87550000,2.87550000,2.59480000,2.7158,51306.00000000,1712102399999,138779.50860000,905,20652.00000000,55769.12310000,0,2.837193788309885
2024-04-03,2.66420000,2.76720000,2.52010000,2.5916,33840.00000000,1712188799999,89252.96170000,419,12831.00000000,34044.44220000,0,2.8322819125436873
2024-04-04,2.57620000,2.91870000,2.53410000,2.703,80286.00000000,1712275199999,221389.59390000,1003,41379.00000000,113966.29330000,0,2.8296962742928136
2024-04-05,2.68140000,2.72290000,2.50900000,2.6123,37362.00000000,1712361599999,96844.63270000,385,19091.00000000,49338.92410000,0,2.825348348806957
2024-04-06,2.62670000,2.68150000,2.58590000,2.634,18902.00000000,1712447999999,49726.67810000,362,10419.00000000,27401.56980000,0,2.821521381830818
2024-04-07,2.62720000,2.79600000,2.62290000,2.7109,17382.00000000,1712534399999,47043.20420000,798,5506.00000000,14871.50030000,0,2.8193089541942014
2024-04-08,2.69420000,2.84960000,2.63750000,2.8192,23839.00000000,1712620799999,66299.67550000,465,14552.00000000,40435.69550000,0,2.8193067751103174
2024-04-09,2.82940000,2.84210000,2.55780000,2.6164,38532.00000000,1712707199999,103739.92340000,563,8776.00000000,23504.23270000,0,2.815248639608111
2024-04-10,2.59950000,2.70010000,2.41100000,2.6565,37713.00000000,1712793599999,96376.92050000,758,19517.00000000,49657.47580000,0,2.8120736668159485
2024-04-11,2.65040000,2.73220000,2.51460000,2.5488,45900.00000000,1712879999999,120069.45940000,612,20370.00000000,53432.01350000,0,2.8068081934796294
