timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,ema_99
2024-04-17,7.74200000,8.03500000,7.50000000,7.683,8953.71000000,1713398399999,69648.86365000,347,2822.12000000,21982.60956000,0,7.683
2024-04-18,7.58300000,8.12100000,7.48700000,7.916,4931.05000000,1713484799999,38872.64595000,231,1344.31000000,10583.36947000,0,7.687659999999999
2024-04-19,7.87100000,8.30300000,7.13800000,7.864,7078.78000000,1713571199999,55405.14589000,421,3338.54000000,26296.10046000,0,7.691186799999999
2024-04-20,7.85400000,9.09200000,7.85400000,8.959,3588.82000000,1713657599999,30488.29644000,279,2361.77000000,19978.64169000,0,7.716543063999999
2024-04-21,8.94700000,9.26900000,8.67700000,9.122,5947.29000000,1713743999999,53261.07472000,2329,2459.25000000,22105.68341000,0,7.744652202719998
2024-04-22,9.17200000,9.46100000,8.96700000,9.299,15362.69000000,1713830399999,142340.47373000,2218,7322.54000000,67614.74542000,0,7.775739158665599
2024-04-23,9.41200000,9.76300000,8.90600000,8.966,10095.72000000,1713916799999,94193.87578000,1909,5623.31000000,52824.74412000,0,7.799544375492286
2024-04-24,9.01000000,9.29500000,8.34700000,8.471,18224.19000000,1714003199999,162335.03381000,3868,11179.39000000,99452.69543000,0,7.812973487982441
2024-04-25,8.51600000,8.86300000,8.23200000,8.658,10025.12000000,1714089599999,85300.15416000,2082,4695.91000000,40052.44953000,0,7.8298740182227915
2024-04-26,8.61200000,8.69000000,8.06100000,8.112,11789.70000000,1714175999999,98344.05968000,2207,7656.07000000,63765.37677000,0,7.835516537858336
2024-04-27,8.13500000,8.22800000,7.78000000,8.074,9596.00000000,1714262399999,76607.31150000,2445,3855.13000000,30807.85441000,0,7.840286207101169
2024-04-28,8.10600000,8.41400000,7.84500000,7.954,9306.26000000,1714348799999,75998.81624000,2404,4875.90000000,39870.16402000,0,7.842560482959145
2024-04-29,7.99200000,8.08100000,7.58000000,7.926,11751.64000000,1714435199999,91640.17175000,1748,5176.47000000,40291.18735000,0,7.844229273299963
2024-04-30,7.82900000,7.99600000,6.98800000,7.341,13363.52000000,1714521599999,98375.88122000,2364,6221.40000000,45868.02085000,0,7.8341646878339635
2024-05-01,7.33600000,7.84900000,6.89500000,7.682,23080.02000000,1714607999999,168756.59128000,3748,9564.80000000,70040.73182000,0,7.831121394077284
2024-05-02,7.63900000,7.96200000,7.31300000,7.845,11515.55000000,1714694399999,88636.62781000,1900,5980.94000000,46125.96408000,0,7.831398966195739
2024-05-03,7.81500000,8.37600000,7.64000000,8.216,10517.38000000,1714780799999,84775.86630000,1954,5552.04000000,44682.79882000,0,7.839090986871824
2024-05-04,8.25100000,9.09800000,8.25100000,8.943,9120.14000000,1714867199999,79289.57133000,1074,4686.44000000,40627.75474000,0,7.8611691671343875
2024-05-05,8.97200000,9.98000000,8.78800000,9.885,15337.90000000,1714953599999,145117.50643000,1212,7879.49000000,74738.19156000,0,7.901645783791699
2024-05-06,9.91000000,10.33300000,9.60000000,9.928,22500.83000000,1715039999999,223707.87020000,1349,11055.09000000,110015.05186000,0,7.942172868115866
2024-05-07,9.97600000,10.85100000,9.97600000,10.292,21328.98000000,1715126399999,224612.41712000,1270,9543.60000000,100599.02013000,0,7.989169410753548
2024-05-08,10.32400000,10.55600000,9.43000000,9.879,22100.39000000,1715212799999,222395.20346000,2887,10112.98000000,101845.23593000,0,8.026966022538478
2024-05-09,9.93600000,11.36800000,9.91700000,10.847,32620.79000000,1715299199999,348064.92725000,4642,18626.24000000,198977.92809000,0,8.083366702087709
2024-05-10,10.91100000,11.57900000,10.75400000,10.962,26076.92000000,1715385599999,289685.25208000,2946,13889.62000000,154475.13569000,0,8.140939368045954
2024-05-11,11.02000000,11.25700000,10.64500000,10.939,11410.61000000,1715471999999,124862.01791000,2002,4713.83000000,51600.18617000,0,8.196900580685035
2024-05-12,10.99500000,11.08600000,10.75000000,10.829,5525.40000000,1715558399999,60519.86758000,876,3004.48000000,32939.68321000,0,8.249542569071334
2024-05-13,10.84300000,11.46600000,10.29800000,11.235,21857.31000000,1715644799999,240877.79112000,3925,11714.08000000,129045.72934000,0,8.309251717689907
2024-05-14,11.22500000,11.40500000,9.81300000,10.055,22342.60000000,1715731199999,233843.29563000,3177,10116.76000000,105958.65064000,0,8.344166683336109
2024-05-15,10.11000000,11.13200000,9.79700000,10.644,20438.93000000,1715817599999,216805.29284000,2756,10885.03000000,115541.90413000,0,8.390163349669386
2024-05-16,10.69300000,10.76000000,9.84600000,10.036,14962.91000000,1715903999999,154393.85236000,2416,5547.13000000,56737.04255000,0,8.423080082675998
2024-05-17,10.07900000,10.37300000,9.95200000,10.074,12755.41000000,1715990399999,128949.29830000,911,7914.44000000,79857.54568000,0,8.456098481022478
2024-05-18,10.17400000,10.35000000,9.83600000,10.343,8572.08000000,1716076799999,86549.51195000,696,5405.19000000,54561.52680000,0,8.493836511402028
2024-05-19,10.35600000,10.63500000,9.99900000,10.042,9442.17000000,1716163199999,97336.65649000,1440,4508.37000000,46727.73493000,0,8.524799781173988
2024-05-20,10.00500000,11.00000000,9.80900000,10.866,10915.46000000,1716249599999,114124.87565000,1572,5285.87000000,55582.96539000,0,8.571623785550507
2024-05-21,10.85900000,11.30200000,10.59800000,11.225,15525.73000000,1716335999999,170719.32974000,2585,8637.32000000,95107.87434000,0,8.624691309839497
2024-05-22,11.20400000,11.89800000,10.63000000,10.652,30773.10000000,1716422399999,346272.87791000,6172,12922.18000000,145859.73493000,0,8.665237483642706
2024-05-23,10.62300000,10.77900000,9.73300000,10.244,24510.61000000,1716508799999,252466.07515000,3789,9132.94000000,94304.78184000,0,8.696812733969852
2024-05-24,10.23100000,10.30700000,9.71800000,10.11,9186.76000000,1716595199999,92698.03905000,1203,4320.66000000,43690.02667000,0,8.725076479290454
2024-05-25,10.06300000,10.42300000,10.04100000,10.061,4427.81000000,1716681599999,45184.48663000,864,2055.75000000,21010.66721000,0,8.751794949704644
2024-05-26,10.07800000,10.16000000,9.89300000,9.967,4694.05000000,1716767999999,47067.45362000,1193,1803.09000000,18107.01772000,0,8.77609905071055
2024-05-27,9.96700000,10.37600000,9.91900000,10.146,16464.25000000,1716854399999,167769.04239000,2791,5512.69000000,56121.73024000,0,8.80349706969634
2024-05-28,10.14600000,10.24900000,9.87700000,10.211,11678.22000000,1716940799999,117025.72557000,2421,6190.05000000,62045.00311000,0,8.831647128302412
2024-05-29,10.20800000,10.63400000,10.10000000,10.269,15774.82000000,1717027199999,163359.66114000,4464,7810.97000000,80999.08333000,0,8.860394185736364
2024-05-30,10.31900000,10.58500000,9.97300000,10.016,19460.76000000,1717113599999,199558.24602000,2065,11389.46000000,116711.00219000,0,8.883506302021637
2024-05-31,9.97900000,10.26600000,9.81500000,10.081,4088.24000000,1717199999999,41095.80850000,614,2000.01000000,20090.37816000,0,8.907456175981205
2024-06-01,10.10700000,10.10700000,9.92800000,10.052,1214.83000000,1717286399999,12177.76775000,152,828.12000000,8302.48191000,0,8.930347052461581
2024-06-02,10.10000000,10.10000000,9.75300000,9.897,2386.72000000,1717372799999,23766.49655000,450,931.22000000,9246.48213000,0,8.949680111412349
2024-06-03,9.95900000,10.18100000,9.81900000,10.028,3216.17000000,1717459199999,32261.46586000,343,1647.19000000,16536.22913000,0,8.971246509184102
2024-06-04,10.01100000,10.46700000,9.99500000,10.34,5157.79000000,1717545599999,52900.89320000,857,2897.84000000,29711.20760000,0,8.99862157900042
2024-06-05,10.36300000,10.78900000,10.33400000,10.735,7366.94000000,1717631999999,77666.09213000,1033,3995.37000000,42118.75112000,0,9.033349147420411
2024-06-06,10.69900000,10.88200000,10.32200000,10.396,10923.25000000,1717718399999,115978.96442000,2229,5479.43000000,58321.09190000,0,9.060602164472003
2024-06-07,10.39700000,10.69000000,8.51000000,9.584,15760.78000000,1717804799999,151844.46393000,2529,8901.95000000,85688.98648000,0,9.071070121182563
2024-06-08,9.55700000,9.69900000,9.00800000,9.141,12057.04000000,1717891199999,111833.49797000,3968,5087.10000000,47159.14075000,0,9.072468718758913
2024-06-09,9.09600000,9.61800000,8.93600000,9.163,6208.48000000,1717977599999,56529.28978000,1086,3218.72000000,29370.26183000,0,9.074279344383735
2024-06-10,9.20200000,9.49200000,8.58400000,8.642,17317.53000000,1718063999999,155575.67935000,3740,7559.92000000,67847.81287000,0,9.06563375749606
2024-06-11,8.62500000,8.66000000,7.96300000,8.182,20447.54000000,1718150399999,169214.18792000,3931,10504.36000000,86942.88905000,0,9.04796108234614
2024-06-12,8.16400000,9.46000000,7.99800000,9.259,32401.97000000,1718236799999,290144.25393000,5621,17731.49000000,158259.70581000,0,9.052181860699216
2024-06-13,9.19900000,9.29200000,8.22200000,8.303,32957.90000000,1718323199999,280309.36282000,8517,23570.57000000,199939.47045000,0,9.037198223485232
2024-06-14,8.35100000,8.41800000,7.60200000,7.929,20449.62000000,1718409599999,163540.16599000,3935,11254.25000000,89967.52272000,0,9.015034259015527
2024-06-15,7.92100000,8.16000000,7.89200000,7.928,12809.81000000,1718495999999,103017.04336000,1068,8284.85000000,66708.16688000,0,8.993293573835217
2024-06-16,7.92300000,8.48900000,7.75500000,8.385,10795.52000000,1718582399999,88607.25033000,1638,4284.22000000,35136.09285000,0,8.981127702358513
2024-06-17,8.39400000,8.46600000,7.47100000,7.725,20889.18000000,1718668799999,165238.61726000,3308,9683.01000000,76488.25110000,0,8.956005148311343
2024-06-18,7.73900000,7.73900000,6.67700000,7.379,38882.30000000,1718755199999,278263.16171000,5207,18445.99000000,132039.07105000,0,8.924465045345116
2024-06-19,7.39300000,7.95100000,7.31300000,7.718,22715.89000000,1718841599999,175787.08114000,3119,10832.09000000,83815.56660000,0,8.900335744438213
2024-06-20,7.70900000,8.26800000,7.48300000,7.552,33100.80000000,1718927999999,262531.35901000,4887,17292.09000000,137225.35674000,0,8.873369029549448
2024-06-21,7.56800000,7.65700000,7.31600000,7.488,23454.10000000,1719014399999,175046.98291000,4633,11381.61000000,84954.96933000,0,8.845661648958458
2024-06-22,7.48100000,7.65300000,7.32300000,7.335,23778.04000000,1719100799999,177475.90429000,4082,11619.72000000,86677.21415000,0,8.815448415979288
2024-06-23,7.35600000,7.46800000,6.96700000,7.012,23496.81000000,1719187199999,168866.91309000,4258,10019.03000000,72188.64022000,0,8.779379447659702
2024-06-24,7.02200000,7.58900000,6.70000000,7.544,130312.12000000,1719273599999,925307.62789000,13562,66105.40000000,469570.39846000,0,8.754671858706507
2024-06-25,7.53800000,7.90900000,7.47300000,7.659,70277.37000000,1719359999999,542347.23203000,10682,35045.42000000,270350.71229000,0,8.732758421532377
2024-06-26,7.67900000,7.80800000,7.30000000,7.447,28629.08000000,1719446399999,215577.13660000,6083,14099.30000000,106327.69622000,0,8.70704325310173
2024-06-27,7.43500000,7.90000000,7.25700000,7.73,41745.13000000,1719532799999,316830.64517000,7083,21314.53000000,161522.57464000,0,8.687502388039695
2024-06-28,7.73900000,7.84300000,7.28700000,7.357,24387.42000000,1719619199999,184057.30549000,5147,10873.77000000,82372.00791000,0,8.6608923402789
2024-06-29,7.34600000,7.44900000,7.15500000,7.157,11756.03000000,1719705599999,86091.81631000,2721,5894.73000000,43205.18649000,0,8.630814493473322
2024-06-30,7.15400000,7.74600000,7.05000000,7.688,37827.23000000,1719791999999,279997.19575000,5979,18222.99000000,134887.15043000,0,8.611958203603855
